Time(min) Concentration(kBq/mL)
0	0
0.04	0.0539537
0.12	0.0301306
0.21	0.126804
0.29	0.0728729
0.38	0.235901
0.46	1.05703
0.54	39.3845
0.62	110.278
0.71	110.211
0.79	79.1961
0.88	59.3911
0.96	56.1086
1.04	51.9045
1.12	44.9701
1.21	43.118
1.29	40.868
1.38	36.4918
1.46	33.6728
1.54	31.3469
1.62	28.8414
1.71	26.5675
1.79	25.8536
1.88	24.2251
1.96	24.1853
2.04	23.7086
2.12	22.2171
2.21	21.4263
2.29	20.5363
2.38	21.4264
2.46	21.7455
2.54	22.5277
2.62	19.8911
2.71	20.9041
2.79	21.282
2.88	20.3754
2.96	20.344
3.04	20.9376
3.12	20.2019
3.21	20.267
3.29	19.545
3.38	19.2536
3.46	20.6816
4.52	16.7987
7.48	13.0755
8	12.8062
9	12.3243
10	11.8733
11	11.451
12	11.0556
13	10.6853
14	10.3383
15	10.013
16	9.70802
17	9.42197
18	9.15354
19	8.90156
20	8.66491
21	8.44255
22	8.2335
23	8.03688
24	7.85184
25	7.6776
26	7.51341
27	7.35861
28	7.21256
29	7.07466
30	6.94436
31	6.82115
32	6.70455
33	6.5941
34	6.4894
35	6.39005
36	6.29568
37	6.20597
38	6.12059
39	6.03925
40	5.96168
41	5.88762
42	5.81683
43	5.74909
44	5.6842
45	5.62195
46	5.56217
47	5.50469
48	5.44936
49	5.39603
50	5.34456
51	5.29482
52	5.2467
53	5.20009
54	5.15488
55	5.11098
56	5.06829
57	5.02675
58	4.98625
59	4.94675
60	4.90816
61	4.87042
62	4.83348
63	4.79728
64	4.76177
65	4.7269
66	4.69262
67	4.6589
68	4.62571
69	4.59298
70	4.56071
71	4.52886
72	4.49739
73	4.46628
74	4.43551
75	4.40504
76	4.37486
77	4.34496
78	4.3153
79	4.28587
80	4.25666
81	4.22764
82	4.19881
83	4.17016
84	4.14166
85	4.1133
86	4.08508
87	4.05699
88	4.02901
89	4.00114
90	3.97336
91	3.94568
92	3.91808
93	3.89056
94	3.86311
95	3.83572
96	3.80839
97	3.78112
98	3.7539
99	3.72672
100	3.69958
101	3.67248
102	3.64541
103	3.61837
104	3.59136
105	3.56438
106	3.53741
107	3.51047
108	3.48354
109	3.45662
110	3.42972
111	3.40283
112	3.37594
113	3.34906
114	3.32219
115	3.29532
116	3.26846
117	3.24159
118	3.21473
119	3.18786
120	3.16099
